model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
elasticnet,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061,1.2373135065911363,0.21597071543813506,2.477103455627899
elasticnet,3,ex_covid,79,2.0354197499888556,1.583525159584879,-0.5946505189108243,1.418396828710803,0.15607494097864547,6.130071514003665
elasticnet_covid,3,full,85,3.062052499509563,1.9060922492510786,-0.598561872375049,1.2101586004687834,0.22621804050642547,57.27703615937719
elasticnet_covid,3,pre_covid,60,1.8999511969791254,1.4473633729844813,-0.6365187258670061,1.2373135065911363,0.21597071543813506,2.477103455627899
elasticnet_covid,3,ex_covid,79,2.0112446441647713,1.5278830676028001,-0.6232842810772409,1.426161946975026,0.15382160094348823,6.227900053966882
lasso,1,full,85,3.590750728341486,2.4514637826714716,-0.7739286042702855,1.1154487904004884,0.2646581514850094,53.759710876045034
lasso,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134,0.42216989580053627,0.6729010131658724,0.5269706835772072
lasso,1,ex_covid,79,2.806981411444961,2.0584119001200953,-0.3339701546551851,0.5289233962679414,0.5968585911726234,2.3938604284508105
lasso_covid,1,full,85,3.5555197869383237,2.445601262966699,-0.8630349392507971,1.1231303025650308,0.2613821580937521,54.01148071381999
lasso_covid,1,pre_covid,60,2.357954054461856,1.6834712174764213,-0.31748076883546134,0.42216989580053627,0.6729010131658724,0.5269706835772072
lasso_covid,1,ex_covid,79,2.7445841932984405,2.0282168773693243,-0.3686455805277376,0.6475058639359208,0.5173046005925511,2.7402626785447084
lasso,2,full,85,8.929722535982242,2.7659500807424684,0.5911350762731955,-0.35735015984309226,0.7208296833877441,-13.086742900499182
lasso,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso,2,ex_covid,79,2.0907981107021962,1.6252497899056333,-0.5170444238242664,1.2664944541698195,0.20533611369237337,5.901568332932483
lasso_covid,2,full,85,8.909134805137219,2.6530460010866737,0.5289015495283502,-0.34693663006370223,0.7286389269563123,-12.719481306977464
lasso_covid,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso_covid,2,ex_covid,79,2.030411608689326,1.5474450752210993,-0.5304248310517004,1.303009447119403,0.19257153632369384,6.150433771947981
lasso,3,full,85,4.381266335129734,2.2565332342645488,-0.74099105740721,1.1910342688768072,0.2336401321069952,47.4577069697888
lasso,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso,3,ex_covid,79,2.1605358032886235,1.647371140461338,-0.6076689682728393,1.336407416818342,0.18141614341523093,5.605090115356341
lasso_covid,3,full,85,4.346439515443924,2.168437260574242,-0.8163156076259516,1.1917862999328863,0.23334504899701114,47.76166520771751
lasso_covid,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso_covid,3,ex_covid,79,2.138106577858561,1.5910037885482105,-0.6381974689564374,1.3456244220064764,0.17842367144116844,5.70150533436631
midas_combination,1,full,85,5.210032098056815,2.383233906007256,-0.1924048145078936,1.250995361441436,0.21093616978428964,39.50876720634763
midas_combination,1,pre_covid,60,2.105976961269239,1.502855449834684,-0.4367523988521296,1.6602235820210676,0.09686948227251646,1.6517790451334926
midas_combination,1,ex_covid,79,2.148181472317111,1.5789195381683503,-0.3935017245826993,1.298928594029005,0.1939684356157908,5.658321434641846
midas_combination,2,full,85,5.0283039300002725,2.09326459944791,0.20343186084664028,1.3041421113054437,0.19218513303935347,41.369361256673734
midas_combination,2,pre_covid,60,1.9291541432425938,1.4734431005128372,-0.519484250511359,1.6783501034404351,0.09327877224964722,2.3652822981402446
midas_combination,2,ex_covid,79,1.8544797169107892,1.4406112724484648,-0.3846885868848383,1.4590047195511262,0.14456380871154206,6.833910052214837
midas_combination,3,full,85,6.272946979006167,2.483573506987078,-0.2606157795866413,1.3265889916787739,0.1846446793212484,27.30333786770735
midas_combination,3,pre_covid,60,1.9270110637277533,1.4399332422295081,-0.5664630862657211,1.699776806919015,0.08917291568904928,2.373546366801144
midas_combination,3,ex_covid,79,1.8764621452819377,1.4259783212263026,-0.45325284641164415,1.4643685954094539,0.1430932639927464,6.7518948899722675
